Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
maven,org.apache.maven.api,Node,getRemoteRepositories,0,1,0,53,0,,
maven,org.apache.maven.api,Node,getRepository,0,1,0,59,0,,
maven,org.apache.maven.api,Node,accept,0,1,1,65,0,,
maven,org.apache.maven.api,Node,filter,0,1,1,73,0,,
maven,org.apache.maven.api,Node,asString,0,1,0,83,0,,
maven,org.apache.maven.api,Node,stream,3,1,0,90,0,org.apache.maven.api.Node,org.apache.maven.api.Node
maven,org.apache.maven.api,NodeVisitor,enter,0,1,1,33,0,,
maven,org.apache.maven.api,NodeVisitor,leave,0,1,1,42,0,,
maven,org.apache.maven.api,Project,getGroupId,0,1,0,39,0,,
maven,org.apache.maven.api,Project,getArtifactId,0,1,0,42,0,,
maven,org.apache.maven.api,Project,getVersion,0,1,0,45,0,,
maven,org.apache.maven.api,Project,getPackaging,0,1,0,48,0,,
maven,org.apache.maven.api,Project,getArtifact,0,1,0,51,0,,
maven,org.apache.maven.api,Project,getModel,0,1,0,54,0,,
maven,org.apache.maven.api,Project,getBuild,4,1,0,57,0,org.apache.maven.api.Project,org.apache.maven.api.Project
maven,org.apache.maven.api,Project,getPomPath,0,1,0,63,0,,
maven,org.apache.maven.api,Project,getBasedir,3,1,0,73,0,org.apache.maven.api.Project,org.apache.maven.api.Project
maven,org.apache.maven.api,Project,getDependencies,0,1,0,78,0,,
maven,org.apache.maven.api,Project,getManagedDependencies,0,1,0,81,0,,
maven,org.apache.maven.api,Project,getId,3,1,0,84,0,org.apache.maven.api.Project,org.apache.maven.api.Project
maven,org.apache.maven.api,Project,isExecutionRoot,0,1,0,89,0,,
maven,org.apache.maven.api,Project,isTopProject,0,1,0,95,0,,
maven,org.apache.maven.api,Project,isRootProject,0,1,0,106,0,,
maven,org.apache.maven.api,Project,getRootDirectory,0,1,0,118,0,,
maven,org.apache.maven.api,Project,getParent,0,1,0,128,0,,
maven,org.apache.maven.api,Project,getRemoteProjectRepositories,0,1,0,131,0,,
maven,org.apache.maven.api,Project,getRemotePluginRepositories,0,1,0,134,0,,
maven,org.apache.maven.api,RemoteRepository,getUrl,0,1,0,32,0,,
maven,org.apache.maven.api,RemoteRepository,getProtocol,0,1,0,35,0,,
maven,org.apache.maven.api,Repository,getId,0,1,0,41,0,,
maven,org.apache.maven.api,Repository,getType,0,1,0,49,0,,
maven,org.apache.maven.api,Session,getSettings,0,1,0,45,0,,
maven,org.apache.maven.api,Session,getLocalRepository,0,1,0,48,0,,
maven,org.apache.maven.api,Session,getRemoteRepositories,0,1,0,51,0,,
maven,org.apache.maven.api,Session,getData,0,1,0,54,0,,
maven,org.apache.maven.api,Session,getUserProperties,0,1,0,57,0,,
maven,org.apache.maven.api,Session,getSystemProperties,0,1,0,66,0,,
maven,org.apache.maven.api,Session,getMavenVersion,0,1,0,75,0,,
maven,org.apache.maven.api,Session,getDegreeOfConcurrency,0,1,0,82,0,,
maven,org.apache.maven.api,Session,getStartTime,0,1,0,84,0,,
maven,org.apache.maven.api,Session,getTopDirectory,0,1,0,87,0,,
maven,org.apache.maven.api,Session,getRootDirectory,0,1,0,94,0,,
maven,org.apache.maven.api,Session,getMultiModuleProjectDirectory,0,1,0,104,0,,
maven,org.apache.maven.api,Session,getExecutionRootDirectory,0,1,0,111,0,,
maven,org.apache.maven.api,Session,getProjects,0,1,0,118,0,,
maven,org.apache.maven.api,Session,getPluginContext,0,1,1,121,0,,
maven,org.apache.maven.api,Session,getService,0,1,1,133,0,,
maven,org.apache.maven.api,Session,withLocalRepository,0,1,1,141,0,,
maven,org.apache.maven.api,Session,withRemoteRepositories,0,1,1,151,0,,
maven,org.apache.maven.api,Session,registerListener,0,1,1,161,0,,
