Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
maven,org.apache.maven.api.services,ArtifactResolverRequest.DefaultArtifactResolverRequest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: coordinates
maven,org.apache.maven.api.services,ArtifactResolverRequest.DefaultArtifactResolverRequest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
maven,org.apache.maven.api.services,BuilderProblem,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
maven,org.apache.maven.api.services,BuilderProblem.Severity,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
maven,org.apache.maven.api.services,BuilderProblem.Severity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
maven,org.apache.maven.api.services,DependencyCollectorException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
maven,org.apache.maven.api.services,DependencyCollectorException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): MavenException
maven,org.apache.maven.api.services,DependencyCollectorRequest.DependencyCollectorRequestBuilder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
maven,org.apache.maven.api.services,DependencyCollectorRequest.DependencyCollectorRequestBuilder,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: session; rootArtifact; root; dependencies; managedDependencies; verbose; rootArtifact; root; dependencies; managedDependencies; verbose
maven,org.apache.maven.api.services,DependencyCollectorRequest.DefaultDependencyCollectorRequest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: rootArtifact; root; dependencies; managedDependencies; verbose
maven,org.apache.maven.api.services,DependencyCollectorRequest.DefaultDependencyCollectorRequest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
maven,org.apache.maven.api.services,DependencyCollectorRequest.DefaultDependencyCollectorRequest,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: rootArtifact; root; dependencies; managedDependencies; verbose
maven,org.apache.maven.api.services,DependencyCoordinateFactoryRequest.DependencyCoordinateFactoryRequestBuilder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
maven,org.apache.maven.api.services,DependencyCoordinateFactoryRequest.DependencyCoordinateFactoryRequestBuilder,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: session; groupId; artifactId; version; classifier; extension; type; scope; optional; exclusions; groupId; artifactId; version; classifier; extension; type; scope; optional; exclusions
maven,org.apache.maven.api.services,DependencyCoordinateFactoryRequest.DefaultDependencyCoordinateFactoryRequest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
maven,org.apache.maven.api.services,DependencyCoordinateFactoryRequest.DefaultDependencyCoordinateFactoryRequest,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: groupId; artifactId; version; classifier; extension; type; scope; optional; exclusions
maven,org.apache.maven.api.services,Lookup,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
maven,org.apache.maven.api.services,LookupException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
maven,org.apache.maven.api.services,LookupException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): MavenException
maven,org.apache.maven.api.services,MavenException,Wide Hierarchy,The tool detected the smell in this class because the number of children for the class is large. This class has following sub-classes: ArtifactDeployerException; ArtifactInstallerException; ArtifactResolverException; DependencyCollectorException; LookupException; ProjectBuilderException; PrompterException; SettingsBuilderException; ToolchainManagerException; ToolchainsBuilderException; TransportProviderException; VersionParserException
maven,org.apache.maven.api.services,ProjectBuilderException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
maven,org.apache.maven.api.services,ProjectBuilderException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): MavenException
maven,org.apache.maven.api.services,ProjectBuilderRequest.ProjectBuilderRequestBuilder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
maven,org.apache.maven.api.services,ProjectBuilderRequest.ProjectBuilderRequestBuilder,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: session; path; source; artifact; coordinate; allowStubModel; recursive; processPlugins; resolveDependencies; path; source; artifact; coordinate; allowStubModel; recursive; processPlugins; resolveDependencies
maven,org.apache.maven.api.services,ProjectBuilderRequest.DefaultProjectBuilderRequest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
maven,org.apache.maven.api.services,ProjectBuilderRequest.DefaultProjectBuilderRequest,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: path; source; artifact; coordinate; allowStubModel; recursive; processPlugins; resolveDependencies
maven,org.apache.maven.api.services,ProjectManager,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
maven,org.apache.maven.api.services,Prompter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
maven,org.apache.maven.api.services,PrompterException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): MavenException
